protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
DACARBAZINE	FOTEMUSTINE	Precaution d'emploi Ne pas utiliser simultanement mais respecter un delai d'une semaine entre la derniere administration de fotemustine et le premier jour de la cure de dacarbazine. 	Voir aussi : cytotoxiques	Avec la dacarbazine a doses elevees : risque de toxicite pulmonaire (syndrome de detresse respiratoire aigue de l'adulte).			 Ne pas utiliser simultanement mais respecter un delai d'une semaine entre la derniere administration de fotemustine et le premier jour de la cure de dacarbazine. 	
DACLATASVIR	DEXAMETHASONE	CONTRE-INDICATION A l'exception de la dexamethasone administree en dose unique. 		Avec la dexamethasone a usage systemique, risque de diminution significative des concentrations plasmatiques de daclatasvir par augmentation de son metabolisme hepatique par l'inducteur.	 A l'exception de la dexamethasone administree en dose unique. 			
DACLATASVIR	INDUCTEURS ENZYMATIQUES	CI - PE Contre-indication: - avec la rifampicine - avec les anticonvulsivants inducteurs enzymatiques - avec l'oxcarbazepine 		: - avec les autres inducteurs, la dose recommandee est de 90 mg/jour de daclatasvir Diminution des concentrations plasmatiques de daclatasvir par augmentation de son metabolisme hepatique par l'inducteur.	CI - PE Contre-indication: - avec la rifampicine - avec les anticonvulsivants inducteurs enzymatiques - avec l'oxcarbazepine 		CI - PE Contre-indication: - avec la rifampicine - avec les anticonvulsivants inducteurs enzymatiques - avec l'oxcarbazepine 	
DACLATASVIR	INHIBITEURS PUISSANTS DU CYP3A4	Precaution d'emploi La dose de daclatasvir doit etre diminuee a 30 mg 1 fois par jour en cas de co-administration avec l'inhibiteur. 		Augmentation des concentrations de daclatasvir par l'inhibiteur.			 La dose de daclatasvir doit etre diminuee a 30 mg 1 fois par jour en cas de co-administration avec l'inhibiteur. 	
DACLATASVIR	MILLEPERTUIS	CONTRE-INDICATION 		Risque de diminution significative des concentrations plasmatiques de daclatasvir par augmentation de son metabolisme hepatique par le millepertuis. Thesaurus des interactions medicamenteuses	 			
DALFOPRISTINE	DIHYDROERGOTAMINE	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).		Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DALFOPRISTINE	ERGOTAMINE	CONTRE-INDICATION Ergotisme avec possibilite de necrose des extremites (inhibition du 		Ergotisme avec possibilite de necrose des extremites (inhibition du metabolisme hepatique de l'alcaloide de l'ergot de seigle).				
DALFOPRISTINE	IMMUNOSUPPRESSEURS	Precaution d'emploi Dosage des concentrations sanguines de l'immunosuppresseur, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 		Augmentation des concentrations sanguines de l'immunosuppresseur par inhibition de son metabolisme hepatique.			 Dosage des concentrations sanguines de l'immunosuppresseur, controle de la fonction renale et adaptation de la posologie pendant l'association et apres son arret. 	
DALFOPRISTINE	PIMOZIDE	Association DECONSEILLEE Risque majore de troubles du rythme ventriculaire, notamment de 		Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes.				
DANAZOL	INSULINE	Association DECONSEILLEE Si l'association ne peut etre evitee, prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie de l'insuline pendant le traitement par le danazol et apres son arret. 		Effet diabetogene du danazol.		 Si l'association ne peut etre evitee, prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie de l'insuline pendant le traitement par le danazol et apres son arret. 		
DANAZOL	SIMVASTATINE	CONTRE-INDICATION Risque majore d'effets indesirables (concentration-dependants) a 		Risque majore d'effets indesirables (concentration-dependants) a type de rhabdomyolyse par diminution du metabolisme de la simvastatine.				
DANAZOL	SULFAMIDES HYPOGLYCEMIANTS	Association DECONSEILLEE Si l'association ne peut etre evitee, prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie de l'antidiabetique pendant le traitement par le danazol et apres son arret. 		Effet diabetogene du danazol.		 Si l'association ne peut etre evitee, prevenir le patient et renforcer l'autosurveillance glycemique. Adapter eventuellement la posologie de l'antidiabetique pendant le traitement par le danazol et apres son arret. 		
DANAZOL	TACROLIMUS	Precaution d'emploi Dosage des concentrations sanguines du tacrolimus et adaptation de sa posologie pendant l'association et apres son arret, avec controle de la fonction renale. 		Augmentation des concentrations sanguines du tacrolimus par inhibition de son metabolisme hepatique.			 Dosage des concentrations sanguines du tacrolimus et adaptation de sa posologie pendant l'association et apres son arret, avec controle de la fonction renale. 	
DANTROLENE	DIHYDROPYRIDINES	Association DECONSEILLEE Avec le dantrolene administre par perfusion : chez l'animal des cas de fibrillations ventriculaires mortelles sont constamment observes lors de l'administration de verapamil et de dantrolene IV. L'association d'un antagoniste du calcium et de dantrolene est donc potentiellement dangereuse. Cependant, quelques patients ont recu l'association nifedipine et dantrolene sans inconvenient.		Avec le dantrolene administre par perfusion : chez l'animal des cas de fibrillations ventriculaires mortelles sont constamment observes lors de l'administration de verapamil et de dantrolene IV. L'association d'un antagoniste du calcium et de dantrolene est donc potentiellement dangereuse. Cependant, quelques patients ont recu l'association nifedipine et dantrolene sans inconvenient.				
DANTROLENE	DILTIAZEM	CONTRE-INDICATION Avec le dantrolene administre par perfusion : chez l'animal, des cas 		Avec le dantrolene administre par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observes lors de l'administration de verapamil et de dantrolene par voie IV. L'association d'un antagoniste du calcium et de dantrolene est donc potentiellement dangereuse. Cependant, quelques patients ont recu l'association nifedipine et dantrolene sans inconvenient. Thesaurus des interactions medicamenteuses				
DANTROLENE	VERAPAMIL	CONTRE-INDICATION Avec le dantrolene administre par perfusion : chez l'animal, des cas 		Avec le dantrolene administre par perfusion : chez l'animal, des cas de fibrillations ventriculaires mortelles sont constamment observes lors de l'administration de verapamil et de dantrolene par voie IV. L'association d'un antagoniste du calcium et de dantrolene est donc potentiellement dangereuse. Cependant, quelques patients ont recu l'association nifedipine et dantrolene sans inconvenient.				
DAPOXETINE	INHIBITEURS PUISSANTS DU CYP3A4	CONTRE-INDICATION 	Voir aussi : inhibiteurs selectifs de la recapture de la serotonine - medicaments sedatifs	Risque de majoration des effets indesirables, notamment a type de vertiges ou de syncopes.	 			
DAPOXETINE	MEDICAMENTS A L'ORIGINE D'UNE HYPOTENSION ORTHOSTATIQUE	ASDEC - APEC Association deconseillee - avec les inhibiteurs de la phosphodiesterase de type 5 	Voir aussi : inhibiteurs selectifs de la recapture de la serotonine - medicaments sedatifs	 - avec les autres classes therapeutiques Risque de majoration des effets indesirables, notamment a type de vertiges ou de syncopes.		ASDEC - APEC Association deconseillee - avec les inhibiteurs de la phosphodiesterase de type 5 		ASDEC - APEC Association deconseillee - avec les inhibiteurs de la phosphodiesterase de type 5 
DAPSONE	ZIDOVUDINE	Precaution d'emploi Controle plus frequent de l'hemogramme. 	Voir aussi : medicaments methemoglobinisants	Augmentation de la toxicite hematologique (addition d'effets de toxicite medullaire).			 Controle plus frequent de l'hemogramme. 	
DAPTOMYCINE	INHIBITEURS DE L'HMG-COA REDUCTASE (STATINES)	Association DECONSEILLEE Si l'association ne peut etre evitee, renforcer la surveillance biologique (dosage des CPK plus d'une fois par semaine) et surveillance clinique etroite. 		Risque d'addition des effets indesirables (dose-dependant) a type de rhabdomyolyse.		 Si l'association ne peut etre evitee, renforcer la surveillance biologique (dosage des CPK plus d'une fois par semaine) et surveillance clinique etroite. 		
DARIFENACINE	FLECAINIDE	Precaution d'emploi Surveillance clinique et reduction de la posologie du flecainide pendant le traitement par darifenacine. 	Voir aussi : antispasmodiques urinaires - medicaments atropiniques	Augmentation des concentrations plasmatiques de flecainide, avec risque de surdosage, par diminution de son metabolisme hepatique par la darifenacine.			 Surveillance clinique et reduction de la posologie du flecainide pendant le traitement par darifenacine. 	
DARIFENACINE	METOPROLOL	Precaution d'emploi Surveillance clinique et reduction de la posologie du metoprolol pendant le traitement par darifenacine. 	Voir aussi : antispasmodiques urinaires - medicaments atropiniques	Augmentation des concentrations plasmatiques du metoprolol, avec risque de surdosage, par diminution de son metabolisme hepatique par la darifenacine.			 Surveillance clinique et reduction de la posologie du metoprolol pendant le traitement par darifenacine. 	
DARIFENACINE	PROPAFENONE	Precaution d'emploi Surveillance clinique et reduction de la posologie de la propafenone pendant le traitement par darifenacine. 	Voir aussi : antispasmodiques urinaires - medicaments atropiniques	Augmentation des concentrations plasmatiques de propafenone, avec risque de surdosage, par diminution de son metabolisme hepatique par la darifenacine.			 Surveillance clinique et reduction de la posologie de la propafenone pendant le traitement par darifenacine. 	
DASABUVIR	ETHINYLESTRADIOL	CONTRE-INDICATION Augmentation de l'hepatotoxicite.		Augmentation de l'hepatotoxicite.				
DASABUVIR	GEMFIBROZIL	CONTRE-INDICATION Risque d'augmentation des concentrations plasmatiques du 		Risque d'augmentation des concentrations plasmatiques du dasabuvir par le gemfibrozil.				
DASABUVIR	INDUCTEURS ENZYMATIQUES	CONTRE-INDICATION Risque de diminution des concentrations plasmatiques du 		Risque de diminution des concentrations plasmatiques du dasabuvir par l'inducteur.				
DASABUVIR	MILLEPERTUIS	CONTRE-INDICATION Risque de diminution des concentrations plasmatiques du 		Risque de diminution des concentrations plasmatiques du dasabuvir par le millepertuis. Thesaurus des interactions medicamenteuses				
DASABUVIR	MITOTANE	CONTRE-INDICATION Risque de diminution des concentrations plasmatiques du 		Risque de diminution des concentrations plasmatiques du dasabuvir par le mitotane.				
DEFERASIROX	DEFERIPRONE	CONTRE-INDICATION Risque d'hyperchelation.		Risque d'hyperchelation.				
DEFERASIROX	DEFEROXAMINE	CONTRE-INDICATION Risque d'hyperchelation.		Risque d'hyperchelation.				
DEFERASIROX	REPAGLINIDE	Association DECONSEILLEE Si l'association ne peut etre evitee, surveillance clinique et biologique etroite. 		Risque d'augmentation des concentrations plasmatique de repaglinide, par inhibition de son metabolisme hepatique par le deferasirox.		 Si l'association ne peut etre evitee, surveillance clinique et biologique etroite. 		
DEFERASIROX	RIFAMPICINE	Precaution d'emploi Surveiller la ferritinemie pendant et apres le traitement par l'inducteur enzymatique. Si besoin, adaptation de la posologie de deferasirox. 		Risque de diminution des concentrations plasmatiques de deferasirox.			 Surveiller la ferritinemie pendant et apres le traitement par l'inducteur enzymatique. Si besoin, adaptation de la posologie de deferasirox. 	
DEFIBROTIDE	HEPARINES	Association DECONSEILLEE Risque hemorragique accru.		Risque hemorragique accru.				
DEFIBROTIDE	THROMBOLYTIQUES	CONTRE-INDICATION Risque hemorragique accru.		Risque hemorragique accru.				
DELAMANID	RIFAMPICINE	CONTRE-INDICATION Diminution des concentrations plasmatiques de delamanid par 		Diminution des concentrations plasmatiques de delamanid par augmentation de son metabolisme hepatique par l'inducteur.				
DERIVES NITRES ET APPARENTES	INHIBITEURS DE LA PHOSPHODIESTERASE DE TYPE 5	CONTRE-INDICATION Risque d'hypotension importante (effet synergique) pouvant 	(dinitrate d'isosorbide, isosorbide, molsidomine, nicorandil, trinitrine)	Risque d'hypotension importante (effet synergique) pouvant aggraver l'etat d'ischemie myocardique et provoquer notamment un accident coronarien aigu.				
DERIVES NITRES ET APPARENTES	MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE	A prendre en compte Majoration du risque d'hypotension, notamment orthostatique.	(dinitrate d'isosorbide, isosorbide, molsidomine, nicorandil, trinitrine)	Majoration du risque d'hypotension, notamment orthostatique.				
DERIVES NITRES ET APPARENTES	RIOCIGUAT	CONTRE-INDICATION Risque d'hypotension importante (effet synergique).	(dinitrate d'isosorbide, isosorbide, molsidomine, nicorandil, trinitrine)	Risque d'hypotension importante (effet synergique).				
DEXAMETHASONE	ERYTHROMYCINE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur de proteases, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	ITRACONAZOLE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	KETOCONAZOLE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	POSACONAZOLE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	PRAZIQUANTEL	Precaution d'emploi Decaler l'administration des deux medicaments d'au moins une semaine. 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution des concentrations plasmatiques du praziquantel, avec risque d'echec du traitement, par augmentation du metabolisme hepatique du praziquantel par la dexamethasone.			 Decaler l'administration des deux medicaments d'au moins une semaine. 	
DEXAMETHASONE	RILPIVIRINE	CONTRE-INDICATION A l'exception de la dexamethasone administree en dose unique. 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Avec la dexamethasone a usage systemique, risque de diminution des concentrations plasmatiques de rilpivirine par augmentation de son metabolisme hepatique par la dexamethasone.	 A l'exception de la dexamethasone administree en dose unique. 			
DEXAMETHASONE	SIMEPREVIR	Association DECONSEILLEE A l'exception de la dexamethasone administree en dose unique. 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Avec la dexamethasone a usage systemique, risque de diminution des concentrations plasmatiques de simeprevir par augmentation de son metabolisme hepatique par la dexamethasone.		 A l'exception de la dexamethasone administree en dose unique. 		
DEXAMETHASONE	TELITHROMYCINE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXAMETHASONE	VORICONAZOLE	A prendre en compte Augmentation des concentrations plasmatiques de la 	Voir aussi : glucocorticoides (sauf hydrocortisone) - hypokaliemiants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation des concentrations plasmatiques de la dexamethasone par diminution de son metabolisme hepatique par l'inhibiteur enzymatique, avec risque d'apparition d'un syndrome cushingoide.				
DEXTRAN 40	HEPARINES DE BAS POIDS MOLECULAIRE ET APPARENTES (DOSES CURATIVES ET/OU SUJET AGE)	Association DECONSEILLEE Augmentation du risque hemorragique (inhibition de la fonction 	(dextran	Augmentation du risque hemorragique (inhibition de la fonction plaquettaire par le dextran 40).				
DEXTRAN 40	HEPARINES NON FRACTIONNEES (DOSES CURATIVES ET/OU SUJET AGE)	Association DECONSEILLEE Augmentation du risque hemorragique (inhibition de la fonction 	(dextran	Augmentation du risque hemorragique (inhibition de la fonction plaquettaire par le dextran 40). Thesaurus des interactions medicamenteuses				
DEXTROMETHORPHANE	IMAO-A REVERSIBLES, Y COMPRIS LINEZOLIDE ET BLEU DE METHYLENE	Association DECONSEILLEE Risque d'apparition d'un syndrome serotoninergique : diarrhee, 	Voir aussi : antitussifs morphine-like - morphiniques - medicaments sedatifs	Risque d'apparition d'un syndrome serotoninergique : diarrhee, tachycardie, sueurs, tremblements, confusion voire coma.				
DEXTROMETHORPHANE	IMAO IRREVERSIBLES	CONTRE-INDICATION Risque d'apparition d'un syndrome serotoninergique : diarrhee, 	Voir aussi : antitussifs morphine-like - morphiniques - medicaments sedatifs	Risque d'apparition d'un syndrome serotoninergique : diarrhee, tachycardie, sueurs, tremblements, confusion voire coma.				
DIAZEPAM	PHENYTOINE (ET, PAR EXTRAPOLATION, FOSPHENYTOINE)	Precaution d'emploi Surveillance clinique et controle des concentrations plasmatiques de phenytoine. 	Voir aussi : benzodiazepines et apparentes - medicaments sedatifs	Variations imprevisibles : les concentrations plasmatiques de phenytoine peuvent augmenter, avec signes de surdosage, mais aussi diminuer ou rester stables.			 Surveillance clinique et controle des concentrations plasmatiques de phenytoine. 	
DIAZEPAM	STIRIPENTOL	Precaution d'emploi Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'anticonvulsivant associe au stiripentol et eventuelle adaptation posologique de l'anticonvulsivant associe. 	Voir aussi : benzodiazepines et apparentes - medicaments sedatifs	Augmentation des concentrations plasmatiques du diazepam, avec risque de surdosage, par inhibition de son metabolisme hepatique.			 Surveillance clinique et dosage plasmatique, lorsque cela est possible, de l'anticonvulsivant associe au stiripentol et eventuelle adaptation posologique de l'anticonvulsivant associe. 	
DIDANOSINE	GANCICLOVIR	Association DECONSEILLEE Risque d'augmentation des effets indesirables de la didanosine, et 		Risque d'augmentation des effets indesirables de la didanosine, et notamment la toxicite mitochondriale, par augmentation importante de ses concentrations. De plus risque de diminution de l'efficacite du ganciclovir par diminution de ses concentrations, si les deux medicaments sont ingeres a moins de 2 heures d'intervalle.				
DIDANOSINE	PENTAMIDINE	Precaution d'emploi Surveillance de l'amylasemie. Ne pas associer si l'amylasemie est a la limite superieure de la normale. 		Risque majore de survenue de pancreatite par addition d'effets indesirables.			 Surveillance de l'amylasemie. Ne pas associer si l'amylasemie est a la limite superieure de la normale. 	
DIDANOSINE	RIBAVIRINE	Association DECONSEILLEE Risque de majoration de la toxicite mitochondriale de la didanosine 		Risque de majoration de la toxicite mitochondriale de la didanosine par augmentation de son metabolite actif.				
DIDANOSINE	TENOFOVIR DISOPROXIL	Association DECONSEILLEE Risque d'echec du traitement antiretroviral, voire emergence de 		Risque d'echec du traitement antiretroviral, voire emergence de resistances. De plus, majoration du risque de la toxicite mitochondriale de la didanosine.				
DIDANOSINE	THALIDOMIDE	Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. 		Risque majore de survenue de neuropathies peripheriques par addition d'effets indesirables. Thesaurus des interactions medicamenteuses			 Surveillance clinique et biologique reguliere, notamment en debut d'association. 	
DIDANOSINE	ZALCITABINE	Precaution d'emploi Surveillance clinique reguliere et surveillance de l'amylasemie. Ne pas associer si l'amylasemie est a la limite superieure de la normale. 		Risque majore de survenue de pancreatite et de neuropathies peripheriques par addition d'effets indesirables.			 Surveillance clinique reguliere et surveillance de l'amylasemie. Ne pas associer si l'amylasemie est a la limite superieure de la normale. 	
DIGOXINE	DRONEDARONE	Association DECONSEILLEE Reduire de moitie les doses de digoxine. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Depression de l'automatisme (bradycardie excessive) et troubles de la conduction auriculo-ventriculaire. En outre, augmentation de la digoxinemie par diminution du metabolisme de la digoxine.Surveillance clinique et ECG.		 Reduire de moitie les doses de digoxine. 		
DIGOXINE	ERYTHROMYCINE	Precaution d'emploi Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par l'erythromycine et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie par augmentation de son absorption.			 Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par l'erythromycine et apres son arret. 	
DIGOXINE	HYDROQUINIDINE	Precaution d'emploi Surveillance clinique et ECG. En cas de reponse inattendue, controler la digoxinemie et adapter la posologie. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie par diminution de la clairance renale de la digoxine. De plus, troubles de l'automatisme (bradycardie excessive et troubles de la conduction auriculo- ventriculaire).			 Surveillance clinique et ECG. En cas de reponse inattendue, controler la digoxinemie et adapter la posologie. 	
DIGOXINE	HYPOKALIEMIANTS	Precaution d'emploi Corriger auparavant toute hypokaliemie et realiser une surveillance clinique, electrolytique et electrocardiographique. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Hypokaliemie favorisant les effets toxiques des digitaliques.			 Corriger auparavant toute hypokaliemie et realiser une surveillance clinique, electrolytique et electrocardiographique. 	
DIGOXINE	INHIBITEURS DE PROTEASES BOOSTES PAR RITONAVIR	Precaution d'emploi Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie, avec adaptation eventuelle de la posologie de digoxine. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie, plus marquee pour la voie intraveineuse, par augmentation de l'absorption de la digoxine ou diminution de sa clairance renale.			 Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie, avec adaptation eventuelle de la posologie de digoxine. 	
DIGOXINE	ITRACONAZOLE	Precaution d'emploi Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie avec adaptation de la posologie de la digoxine pendant le traitement par l'itraconazole et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie avec nausees, vomissements, troubles du rythme. Thesaurus des interactions medicamenteuses			 Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie avec adaptation de la posologie de la digoxine pendant le traitement par l'itraconazole et apres son arret. 	
DIGOXINE	MIDODRINE	Association DECONSEILLEE Si cette association ne peut etre evitee, renforcer la surveillance clinique et ECG. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Troubles de l'automatisme (majoration de l'effet bradycardisant de la midodrine) et troubles de la conduction auriculo-ventriculaire.		 Si cette association ne peut etre evitee, renforcer la surveillance clinique et ECG. 		
DIGOXINE	MILLEPERTUIS	CONTRE-INDICATION En cas d'association fortuite, ne pas interrompre brutalement la prise de millepertuis mais controler les concentrations plasmatiques (ou l'efficacite) de la digoxine avant puis apres l'arret du millepertuis. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution de la digoxinemie, en raison de l'effet inducteur enzymatique du millepertuis, avec risque de baisse d'efficacite voire d'annulation de l'effet, dont les consequences peuvent etre eventuellement graves (decompensation d'une insuffisance cardiaque).	 En cas d'association fortuite, ne pas interrompre brutalement la prise de millepertuis mais controler les concentrations plasmatiques (ou l'efficacite) de la digoxine avant puis apres l'arret du millepertuis. 			
DIGOXINE	OMEPRAZOLE	Precaution d'emploi Surveillance clinique, ECG et de la digoxinemie, particulierement chez le sujet age. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation moderee de la digoxinemie par majoration de son absorption par l'omeprazole.			 Surveillance clinique, ECG et de la digoxinemie, particulierement chez le sujet age. 	
DIGOXINE	POSACONAZOLE	Precaution d'emploi Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie, avec adaptation de la posologie de la digoxine pendant le traitement par le posaconazole et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie avec nausees, vomissements, troubles du rythme.			 Surveillance clinique et, s'il y a lieu, de l'ECG et de la digoxinemie, avec adaptation de la posologie de la digoxine pendant le traitement par le posaconazole et apres son arret. 	
DIGOXINE	PROPAFENONE	Precaution d'emploi Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par propafenone et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Risque d'augmentation de la digoxinemie, notamment chez le sujet age.			 Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par propafenone et apres son arret. 	
DIGOXINE	QUINIDINE	Precaution d'emploi Surveillance clinique et ECG. En cas de reponse inattendue, controler la digoxinemie et adapter la posologie. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie par diminution de la clairance renale de la digoxine. De plus, troubles de l'automatisme (bradycardie excessive et troubles de la conduction auriculo- ventriculaire).			 Surveillance clinique et ECG. En cas de reponse inattendue, controler la digoxinemie et adapter la posologie. 	
DIGOXINE	QUININE	Precaution d'emploi Surveillance clinique et ECG, si besoin, avec adaptation eventuelle des doses de digoxine. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation moderee de la digoxinemie.			 Surveillance clinique et ECG, si besoin, avec adaptation eventuelle des doses de digoxine. 	
DIGOXINE	RANOLAZINE	Precaution d'emploi Surveillance clinique, biologique et eventuellement ECG. Adaptation de la posologie de la digoxine, si besoin. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie.			 Surveillance clinique, biologique et eventuellement ECG. Adaptation de la posologie de la digoxine, si besoin. 	
DIGOXINE	SUCRALFATE	Precaution d'emploi Prendre le sucralfate a distance de la digoxine (plus de 2 heures, si possible). 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution de l'absorption digestive de la digoxine.			 Prendre le sucralfate a distance de la digoxine (plus de 2 heures, si possible). 	
DIGOXINE	SULFASALAZINE	Precaution d'emploi Surveillance clinique, ECG et, eventuellement, de la digoxinemie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par la sulfasalazine et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution de la digoxinemie pouvant atteindre 50 %.			 Surveillance clinique, ECG et, eventuellement, de la digoxinemie. S'il y a lieu, adaptation de la posologie de la digoxine pendant le traitement par la sulfasalazine et apres son arret. 	
DIGOXINE	TELAPREVIR	Precaution d'emploi Surveillance clinique et biologique et adaptation, si besoin, de la posologie de la digoxine pendant le traitement par le telaprevir et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie.			 Surveillance clinique et biologique et adaptation, si besoin, de la posologie de la digoxine pendant le traitement par le telaprevir et apres son arret. 	
DIGOXINE	TELITHROMYCINE	Precaution d'emploi Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par la telithromycine et apres son arret. 	Voir aussi : bradycardisants - substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de la digoxinemie par augmentation de son absorption.			 Surveillance clinique et eventuellement de la digoxinemie pendant le traitement par la telithromycine et apres son arret. 	
